,PDB ID,Drug IDs
457,1MMH,DB00201; DB00277; DB00640; DB00651; DB00806; DB01303; DB01412; DB06213; DB11757; DB14132; DB17080
458,1NRN,DB09030
459,1Z6C,DB00464
460,1EKU,DB01250; DB10772; DB14724
462,1IVO,DB00364
463,1ILG,DB00530
464,1XKT,DB01034
466,3C6K,DB00127
467,1EUB,DB00786
468,1ADZ,DB14562
470,1BY7,DB00013
471,1A31,DB00762; DB00997; DB01030; DB04967; DB05630; DB12893; DB14962
472,1F42,DB05679
473,1KLA,DB01162; DB10772
475,2BZG,DB01250
476,1FKN,DB06073; DB12285
477,4V11,DB01202; DB05541; DB05885
479,1JH5,DB08879
480,1PU4,DB01275
481,1GWX,DB00159; DB00374; DB01393; DB09462
482,2CDW,DB00368; DB01064; DB01363; DB06262; DB08893; DB11124; DB14895
483,1AK4,DB00091
484,1BAS,DB00364; DB00686
485,1S1C,DB13931; DB16703
486,1XX9,DB00100; DB06404; DB09228; DB11300; DB11571; DB13152
488,1AP4,DB00922; DB01373
489,2W96,DB01169; DB11718
492,4JZJ,DB00020; DB14731
493,1HE7,DB08896; DB11986; DB13926; DB14723; DB16826
494,1A02,DB00210; DB01169
495,1AO3,DB00025; DB09108; DB09329; DB11606; DB11607; DB13998; DB13999; DB14738; DB15164; DB16007
497,1DOK,DB01055
498,1HIB,DB06168; DB10772
499,2ZOQ,DB01169
500,1GNG,DB12129
505,1D3E,DB08818
506,1MDI,DB08814
507,1TNR,DB00005
508,1A5H,DB00513; DB06404; DB09228
509,1SPJ,DB12598
510,1SG1,DB12157
511,1JNK,DB11718
513,1CVI,DB06688
514,1LS7,DB14040; DB14041; DB14042
515,1POZ,DB08818
516,1B3D,DB00786
517,1BYQ,DB12442
518,3J9P,DB00825; DB01744; DB11345; DB11755; DB14050
520,2ELI,DB06595
521,2QYK,DB00277; DB00651; DB00824; DB00975; DB01303; DB05266; DB06751
522,1EXT,DB11626
524,1ITQ,DB01597
525,3BRT,DB00795; DB00995; DB01169
526,1JV2,DB00054; DB00063; DB00098; DB00451; DB00775
527,1C9Q,DB04209
528,1L4T,DB00183; DB09142
529,1FSB,DB15271
530,1L8J,DB11328
531,1CP3,DB13048; DB13751
532,1FYW,DB00045; DB00210; DB11601
534,1W7B,DB00591
536,1GZK,DB12218
537,3LPO,DB00284
538,1AHW,DB13150; DB16732
539,1E88,DB08888
540,1A85,DB00786
541,2G47,DB00626
543,3LMK,DB00659
544,1NBD,DB04941; DB08820; DB09280; DB11712; DB15444
545,1JIZ,DB00786
546,1QCT,DB09078; DB11886; DB12147; DB15149
547,1DGB,DB01213
548,1HUL,DB06602; DB06612
549,1KHR,DB01764
550,1P4R,DB00563; DB00642
551,1ISF,DB02701
552,1T09,DB14568; DB16267
553,1L9K,DB00811
554,1EPW,DB13903
555,1AWW,DB09053; DB11703; DB14924; DB15035; DB15327; DB17472
556,1E9K,DB00651; DB03849
557,1E8Y,DB05552; DB11952
558,1A81,DB12010
559,5JCO,DB00570; DB00643
560,1SM2,DB14924
561,1CEF,DB00456
562,1C3B,DB00456
565,2BIT,DB00091
566,1A8D,DB11604
568,1AD5,DB06616
569,1BLS,DB09060; DB12107; DB12377
570,1RGY,DB00355
571,1A1Q,DB11586
572,1I2S,DB04272
573,1HQS,DB04272
574,1ELV,DB06404; DB09228; DB14996
575,1B59,DB01422
577,1A30,DB15673
578,1RM8,DB00786
579,1AYP,DB00328
580,1JCZ,DB00819
581,1DLE,DB16200
582,1UK0,DB09074; DB11760; DB11793; DB12332
583,1FXY,DB12598
584,1OSH,DB05990; DB16255
585,1FNM,DB02703
586,1FDQ,DB00159
587,1KTZ,DB10772
588,1PYY,DB01147
589,1AER,DB02701
591,1W1C,DB01169
592,1DDR,DB00440
595,1HD8,DB00274; DB01147; DB01329; DB01331
596,2KAV,DB00193; DB00252; DB00909
600,1Z1L,DB09273
603,1KV6,DB00255
